post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
143289156.meet-my-personal-longevity-coach,,false,,,newsletter,only_paid,,,
143245102.annual-review-first-year-of-retirement,2024-04-04T17:00:43.479Z,true,2024-04-04T17:00:43.944Z,2024-04-04T17:00:43.944Z,newsletter,everyone,Annual Review: First year of retirement,Reflecting on the past year and prior writings,
112943014.life-update-1-month-after-my-retirement,2023-04-06T00:58:21.554Z,true,2023-04-06T00:58:21.653Z,2023-04-06T00:58:21.653Z,newsletter,everyone,"Life Update: 1 month after my ""retirement""","Retirement Chronicles: New Beginnings, Chat Bots, and a Journey to Health (ChatGPT made this)",
38727344.20210713-mental-shortcuts-of-an-engineering,,false,,,newsletter,everyone,,,
32546199.20210214-cryto-thoughts,2021-02-14T21:22:06.198Z,true,2021-02-14T21:22:06.269Z,2021-02-14T21:22:06.269Z,newsletter,everyone,2021.0214 - Crypto thoughts,Are crypto-asset prices in a bubble?,
31637518.20210118-mlk-monday-morning,2021-01-18T16:35:55.615Z,true,2021-01-18T16:35:55.656Z,2021-01-18T16:35:55.656Z,newsletter,everyone,2021.01.18 - MLK Monday Morning,,
31032976.5e9,,false,,,newsletter,everyone,,,
31031375.remembering-my-roots,,false,,,newsletter,everyone,,,
16829939.20201101-wealth-financial-freedom,2020-11-01T21:23:52.707Z,true,2020-11-01T21:23:52.741Z,2020-11-01T21:23:52.741Z,newsletter,everyone,2020.1101 - Wealth: Financial Freedom by 2030?,My plan to join the FIRE movement,
4884417.mingdom-moment-20200927,2020-09-27T22:03:02.877Z,true,2020-09-27T22:03:02.911Z,2020-09-27T22:03:02.911Z,newsletter,everyone,"2020.0927 - Health: Revisiting ""Immortality"" at age 35","My plan for increasing effective lifespan, aka health-span",
3111865.coming-soon,2020-09-20T22:59:10.734Z,true,2020-09-20T22:59:10.734Z,2020-09-20T22:59:10.734Z,newsletter,everyone,mingdom momentary musings,,
3111864.how-to-use-the-substack-editor,,false,,,newsletter,everyone,,,
